Num,dirname,before_screen1_identifier,after_screen1_identifier,before_screen2_identifier,after_screen2_identifier,ABL_Region,ABL_Start,ABL_End,Completed,Skip_flag
1,k562_r4_PL_1_rep1vsrep2,KR4_D0,KR4_PL_1_A,KR4_D0,KR4_PL_1_B,Region4,465,518,FALSE,FALSE
2,k562_r1_PL1vsPL5,KR1_D0,KR1_PL_1,KR1_D0,KR1_PL_5,Region1,240,321,FALSE,FALSE
3,k562_r2_PL1vsPL5,KR2_D0,KR2_PL_1,KR2_D0,KR2_PL_5,Region2,322,394,FALSE,FALSE
4,k562_r3_PL1vsPL5,KR3_D0,KR3_PL_1,KR3_D0,KR3_PL_5,Region3,394,465,FALSE,TRUE
5,k562_r4_PL1vsPL5,KR4_D0,"KR4_PL_1_A,KR4_PL_1_B",KR4_D0,KR4_PL_5,Region4,465,518,FALSE,FALSE
6,k562_r1_Ponatilink5vsPonatinib0.4,KR1_D0,KR1_PL_5,KR1_D0,KR1_P_0.4,Region1,240,321,FALSE,FALSE
7,k562_r2_Ponatilink5vsPonatinib0.4,KR2_D0,KR2_PL_5,KR2_D0,KR2_P_0.4,Region2,322,394,FALSE,FALSE
8,k562_r3_Ponatilink5vsPonatinib0.4,KR3_D0,KR3_PL_5,KR3_D0,KR3_P_0.4,Region3,394,465,FALSE,TRUE
9,k562_r4_Ponatilink5vsPonatinib0.4,KR4_D0,KR4_PL_5,KR4_D0,KR4_P_0.4,Region4,465,518,FALSE,TRUE
10,k562_r1_Ponatilink5vsAsc30,KR1_D0,KR1_PL_5,KR1_D0,KR1_A30,Region1,240,321,FALSE,FALSE
11,k562_r2_Ponatilink5vsAsc30,KR2_D0,KR2_PL_5,KR2_D0,KR2_A30,Region2,322,394,FALSE,FALSE
12,k562_r3_Ponatilink5vsAsc30,KR3_D0,KR3_PL_5,KR3_D0,KR3_A30,Region3,394,465,FALSE,TRUE
13,k562_r4_Ponatilink5vsAsc30,KR4_D0,KR4_PL_5,KR4_D0,KR4_A30,Region4,465,518,FALSE,FALSE
14,k562_r1_Ponatinib0.4vsAsc30,KR1_D0,KR1_P_0.4,KR1_D0,KR1_A30,Region1,240,321,FALSE,FALSE
15,k562_r2_Ponatinib0.4vsAsc30,KR2_D0,KR2_P_0.4,KR2_D0,KR2_A30,Region2,322,394,FALSE,FALSE
16,k562_r3_Ponatinib0.4vsAsc30,KR3_D0,KR3_P_0.4,KR3_D0,KR3_A30,Region3,394,465,FALSE,TRUE
17,k562_r4_Ponatinib0.4vsAsc30,KR4_D0,KR4_P_0.4,KR4_D0,KR4_A30,Region4,465,518,FALSE,TRUE
